Player,Runs,Mins,Balls,4s,6s,SR,Team,Opposition,Ground,Match Date,Scorecard
RR Rossouw,109,90,56,7,8,194.64,South Africa,v Bangladesh,Sydney,27 Oct 2022,T20I # 1847
GD Phillips,104,87,64,10,4,162.5,New Zealand,v Sri Lanka,Sydney,29 Oct 2022,T20I # 1850
DP Conway,92*,106,58,7,2,158.62,New Zealand,v Australia,Sydney,22 Oct 2022,T20I # 1839
AD Hales,86*,74,47,4,7,182.97,England,v India,Adelaide,10 Nov 2022,T20I # 1878
MA Jones,86,95,55,6,4,156.36,Scotland,v Ireland,Hobart,19 Oct 2022,T20I # 1833
V Kohli,82*,98,53,6,4,154.71,India,v Pakistan,Melbourne,23 Oct 2022,T20I # 1842
Sikandar Raza,82,72,48,5,5,170.83,Zimbabwe,v Ireland,Hobart,17 Oct 2022,T20I # 1828
JC Buttler,80*,74,49,9,3,163.26,England,v India,Adelaide,10 Nov 2022,T20I # 1878
BKG Mendis,79,94,44,5,5,179.54,Sri Lanka,v Netherlands,Geelong,20 Oct 2022,T20I # 1835
P Nissanka,74,105,60,6,2,123.33,Sri Lanka,v U.A.E.,Geelong,18 Oct 2022,T20I # 1832
JC Buttler,73,82,47,7,2,155.31,England,v New Zealand,Brisbane,01 Nov 2022,T20I # 1858
C Campher,72*,48,32,7,2,225.0,Ireland,v Scotland,Hobart,19 Oct 2022,T20I # 1833
MP O'Dowd,71*,99,53,6,3,133.96,Netherlands,v Sri Lanka,Geelong,20 Oct 2022,T20I # 1835
LJ Tucker,71*,81,48,9,1,147.91,Ireland,v Australia,Brisbane,31 Oct 2022,T20I # 1855
Najmul Hossain Shanto,71,77,55,7,1,129.09,Bangladesh,v Zimbabwe,Brisbane,30 Oct 2022,T20I # 1851
BKG Mendis,68*,68,43,5,3,158.13,Sri Lanka,v Ireland,Hobart,23 Oct 2022,T20I # 1841
SA Yadav,68,68,40,6,3,170.0,India,v South Africa,Perth,30 Oct 2022,T20I # 1853
P Nissanka,67,70,45,2,5,148.88,Sri Lanka,v England,Sydney,05 Nov 2022,T20I # 1867
HG Munsey,66*,106,53,9,-,124.52,Scotland,v West Indies,Hobart,17 Oct 2022,T20I # 1826
PR Stirling,66*,79,48,6,2,137.5,Ireland,v West Indies,Hobart,21 Oct 2022,T20I # 1837
DM de Silva,66*,78,42,6,2,157.14,Sri Lanka,v Afghanistan,Brisbane,01 Nov 2022,T20I # 1856
V Kohli,64*,84,44,8,1,145.45,India,v Bangladesh,Adelaide,02 Nov 2022,T20I # 1860
SC Williams,64,75,42,8,-,152.38,Zimbabwe,v Bangladesh,Brisbane,30 Oct 2022,T20I # 1851
Q de Kock,63,77,38,7,3,165.78,South Africa,v Bangladesh,Sydney,27 Oct 2022,T20I # 1847
AJ Finch,63,87,44,5,3,143.18,Australia,v Ireland,Brisbane,31 Oct 2022,T20I # 1855
HH Pandya,63,47,33,4,5,190.9,India,v England,Adelaide,10 Nov 2022,T20I # 1878
BA King,62*,80,48,6,1,129.16,West Indies,v Ireland,Hobart,21 Oct 2022,T20I # 1837
V Kohli,62*,79,44,3,2,140.9,India,v Netherlands,Sydney,27 Oct 2022,T20I # 1848
CN Ackermann,62,77,48,6,2,129.16,Netherlands,v Bangladesh,Hobart,24 Oct 2022,T20I # 1843
A Balbirnie,62,74,47,5,2,131.91,Ireland,v England,Melbourne,26 Oct 2022,T20I # 1846
GD Phillips,62,64,36,4,3,172.22,New Zealand,v England,Brisbane,01 Nov 2022,T20I # 1858
SA Yadav,61*,44,25,6,4,244.0,India,v Zimbabwe,Melbourne,06 Nov 2022,T20I # 1873
KS Williamson,61,59,35,5,3,174.28,New Zealand,v Ireland,Adelaide,04 Nov 2022,T20I # 1862
Litton Das,60,40,27,7,3,222.22,Bangladesh,v India,Adelaide,02 Nov 2022,T20I # 1860
MP Stoinis,59*,22,18,4,6,327.77,Australia,v Sri Lanka,Perth,25 Oct 2022,T20I # 1845
DA Miller,59*,78,46,4,3,128.26,South Africa,v India,Perth,30 Oct 2022,T20I # 1853
CR Ervine,58,79,54,6,-,107.4,Zimbabwe,v Scotland,Hobart,21 Oct 2022,T20I # 1838
Mohammad Rizwan,57,77,43,5,-,132.55,Pakistan,v New Zealand,Sydney,09 Nov 2022,T20I # 1877
D Wiese,55,65,36,3,3,152.77,Namibia,v U.A.E.,Geelong,20 Oct 2022,T20I # 1836
GJ Maxwell,54*,46,32,6,2,168.75,Australia,v Afghanistan,Adelaide,04 Nov 2022,T20I # 1864
HG Munsey,54,74,51,7,-,105.88,Scotland,v Zimbabwe,Hobart,21 Oct 2022,T20I # 1838
Najmul Hossain Shanto,54,66,48,7,-,112.5,Bangladesh,v Pakistan,Adelaide,06 Nov 2022,T20I # 1872
DJ Mitchell,53*,60,35,3,1,151.42,New Zealand,v Pakistan,Sydney,09 Nov 2022,T20I # 1877
RG Sharma,53,53,39,4,3,135.89,India,v Netherlands,Sydney,27 Oct 2022,T20I # 1848
Babar Azam,53,56,42,7,-,126.19,Pakistan,v New Zealand,Sydney,09 Nov 2022,T20I # 1877
Shan Masood,52*,101,42,5,-,123.8,Pakistan,v India,Melbourne,23 Oct 2022,T20I # 1842
BA Stokes,52*,81,49,5,1,106.12,England,v Pakistan,Melbourne,13 Nov 2022,T20I # 1879
AK Markram,52,72,41,6,1,126.82,South Africa,v India,Perth,30 Oct 2022,T20I # 1853
AD Hales,52,46,40,7,1,130.0,England,v New Zealand,Brisbane,01 Nov 2022,T20I # 1858
MP O'Dowd,52,70,47,8,1,110.63,Netherlands,v Zimbabwe,Adelaide,02 Nov 2022,T20I # 1859
Shadab Khan,52,31,22,3,4,236.36,Pakistan,v South Africa,Sydney,03 Nov 2022,T20I # 1861
SA Yadav,51*,38,25,7,1,204.0,India,v Netherlands,Sydney,27 Oct 2022,T20I # 1848
Iftikhar Ahmed,51,43,34,2,4,150.0,Pakistan,v India,Melbourne,23 Oct 2022,T20I # 1842
Iftikhar Ahmed,51,73,35,3,2,145.71,Pakistan,v South Africa,Sydney,03 Nov 2022,T20I # 1861
KL Rahul,51,59,35,3,3,145.71,India,v Zimbabwe,Melbourne,06 Nov 2022,T20I # 1873
Muhammad Waseem,50,66,41,1,3,121.95,U.A.E.,v Namibia,Geelong,20 Oct 2022,T20I # 1836
KL Rahul,50,49,32,3,4,156.25,India,v Bangladesh,Adelaide,02 Nov 2022,T20I # 1860
V Kohli,50,75,40,4,1,125.0,India,v England,Adelaide,10 Nov 2022,T20I # 1878
Mohammad Rizwan,49,66,39,5,-,125.64,Pakistan,v Netherlands,Perth,30 Oct 2022,T20I # 1852
Rashid Khan,48*,27,23,3,4,208.69,Afghanistan,v Australia,Adelaide,04 Nov 2022,T20I # 1864
Q de Kock,47*,26,18,8,1,261.11,South Africa,v Zimbabwe,Hobart,24 Oct 2022,T20I # 1844
AD Hales,47,42,30,7,1,156.66,England,v Sri Lanka,Sydney,05 Nov 2022,T20I # 1867
KS Williamson,46,81,42,1,1,109.52,New Zealand,v Pakistan,Sydney,09 Nov 2022,T20I # 1877
LJ Tucker,45*,46,35,2,2,128.57,Ireland,v West Indies,Hobart,21 Oct 2022,T20I # 1837
J Charles,45,60,36,3,2,125.0,West Indies,v Zimbabwe,Hobart,19 Oct 2022,T20I # 1834
HT Tector,45,59,42,2,1,107.14,Ireland,v Sri Lanka,Hobart,23 Oct 2022,T20I # 1841
MR Marsh,45,42,30,3,2,150.0,Australia,v Afghanistan,Adelaide,04 Nov 2022,T20I # 1864
JN Frylinck,44,44,28,4,-,157.14,Namibia,v Sri Lanka,Geelong,16 Oct 2022,T20I # 1823
Shan Masood,44,61,38,3,-,115.78,Pakistan,v Zimbabwe,Perth,27 Oct 2022,T20I # 1849
CP Rizwan,43*,55,29,3,1,148.27,U.A.E.,v Namibia,Geelong,20 Oct 2022,T20I # 1836
JN Frylinck,43,63,48,1,1,89.58,Namibia,v Netherlands,Geelong,18 Oct 2022,T20I # 1830
BA Stokes,42*,59,36,2,-,116.66,England,v Sri Lanka,Sydney,05 Nov 2022,T20I # 1867
FH Allen,42,24,16,5,3,262.5,New Zealand,v Australia,Sydney,22 Oct 2022,T20I # 1839
CN Ackermann,41*,31,26,3,2,157.69,Netherlands,v South Africa,Adelaide,06 Nov 2022,T20I # 1871
Muhammad Waseem,41,71,47,1,2,87.23,U.A.E.,v Netherlands,Geelong,16 Oct 2022,T20I # 1825
Sikandar Raza,40,34,23,3,2,173.91,Zimbabwe,v Scotland,Hobart,21 Oct 2022,T20I # 1838
HH Pandya,40,61,37,1,2,108.1,India,v Pakistan,Melbourne,23 Oct 2022,T20I # 1842
P Nissanka,40,65,45,2,-,88.88,Sri Lanka,v Australia,Perth,25 Oct 2022,T20I # 1845
KS Williamson,40,57,40,3,-,100.0,New Zealand,v England,Brisbane,01 Nov 2022,T20I # 1858
Sikandar Raza,40,46,24,3,3,166.66,Zimbabwe,v Netherlands,Adelaide,02 Nov 2022,T20I # 1859
GH Dockrell,39*,42,27,4,1,144.44,Ireland,v Scotland,Hobart,19 Oct 2022,T20I # 1833
Vikramjit Singh,39,37,31,3,2,125.8,Netherlands,v Namibia,Geelong,18 Oct 2022,T20I # 1830
Gulbadin Naib,39,38,23,3,2,169.56,Afghanistan,v Australia,Adelaide,04 Nov 2022,T20I # 1864
KIC Asalanka,38*,45,25,3,2,152.0,Sri Lanka,v Australia,Perth,25 Oct 2022,T20I # 1845
JO Holder,38,37,33,4,1,115.15,West Indies,v Scotland,Hobart,17 Oct 2022,T20I # 1826
Afif Hossain,38,47,27,2,2,140.74,Bangladesh,v Netherlands,Hobart,24 Oct 2022,T20I # 1843
Shan Masood,38,46,28,2,1,135.71,Pakistan,v England,Melbourne,13 Nov 2022,T20I # 1879
RD Berrington,37,39,27,3,1,137.03,Scotland,v Ireland,Hobart,19 Oct 2022,T20I # 1833
A Balbirnie,37,34,23,3,3,160.86,Ireland,v West Indies,Hobart,21 Oct 2022,T20I # 1837
PR Stirling,37,39,27,3,1,137.03,Ireland,v New Zealand,Adelaide,04 Nov 2022,T20I # 1862
SJ Myburgh,37,41,30,7,-,123.33,Netherlands,v South Africa,Adelaide,06 Nov 2022,T20I # 1871
T Bavuma,36,39,19,4,1,189.47,South Africa,v Pakistan,Sydney,03 Nov 2022,T20I # 1861
W Madhevere,35*,37,18,4,1,194.44,Zimbabwe,v South Africa,Hobart,24 Oct 2022,T20I # 1844
MP O'Dowd,35,59,35,1,1,100.0,Netherlands,v Namibia,Geelong,18 Oct 2022,T20I # 1830
DJ Malan,35,66,37,2,-,94.59,England,v Ireland,Melbourne,26 Oct 2022,T20I # 1846
MD Shanaka,35,49,32,4,1,109.37,Sri Lanka,v New Zealand,Sydney,29 Oct 2022,T20I # 1850
MP Stoinis,35,41,25,3,1,140.0,Australia,v Ireland,Brisbane,31 Oct 2022,T20I # 1855
TLW Cooper,35,30,19,2,2,184.21,Netherlands,v South Africa,Adelaide,06 Nov 2022,T20I # 1871
RP Burl,35,27,22,5,1,159.09,Zimbabwe,v India,Melbourne,06 Nov 2022,T20I # 1873
PR Stirling,34,45,25,4,1,136.0,Ireland,v Sri Lanka,Hobart,23 Oct 2022,T20I # 1841
